flow_duration,fwd_packets_tot,bwd_packets_tot,flow_byts_s,flow_pkts_s,pkt_len_mean,pkt_len_std,iat_mean,iat_std,syn_flag_cnt,ack_flag_cnt,psh_flag_cnt,label
370603.1934273233,12.60449961348482,19.878961375665153,12972.09101176619,172.71959617799544,677.2619825235978,263.913100419792,7132.242273405103,506.37624455176785,1.0,0.0,1.0,BENIGN
786730.0318830494,47.576865530111846,21.93948310559248,554.9496408653347,101.90637587564478,325.5960227927764,193.56913334281194,817.7051908661269,3019.8746048912117,0.0,1.0,0.0,BENIGN
642701.0444770566,51.289555606460574,23.921698753154537,917.0588721344118,39.085640421781584,733.5286824739977,371.3388378629369,1678.375061307002,622.4606268995155,1.0,1.0,0.0,BENIGN
83810.71926615256,39.75251608433839,33.53954601650892,24265.71769236862,6.7326986108730456,390.67164027383063,374.8971299658822,4553.683375309438,1203.1142749668898,0.0,1.0,1.0,BENIGN
598261.2282685111,15.358813090976186,6.267466728619875,20657.66745733988,176.60683054343775,225.69751205955276,387.8695114666316,2452.6137045831174,1247.8613228754932,0.0,1.0,1.0,BENIGN
285089.832171489,42.648493490272834,39.80074127500139,11616.152986634572,251.2651494387561,1264.4016974775684,252.85787600592172,5050.615154137072,1539.0410422036862,0.0,1.0,0.0,BENIGN
189719.80688258604,43.3582843937316,34.92051409019933,48817.62049792757,95.26322917474252,1204.092717613231,107.7565286914417,9705.8943190932,4026.679933048016,0.0,1.0,0.0,BENIGN
660638.5428059315,46.23517160617547,46.7937131606498,44461.9533111646,183.92214292359583,217.17006163656657,275.42904752889376,3611.537733240368,2169.167010407982,1.0,0.0,1.0,BENIGN
496314.1053762475,5.861861640458622,11.36382281089076,46673.947776526955,279.08195818445364,471.33245456271646,130.1276781340548,1683.800989274041,4036.060737885744,0.0,0.0,0.0,BENIGN
127281.34160980477,43.19897435547535,39.12131981730486,43548.82914793004,24.55030862203813,178.8622821152395,259.5007478474402,2802.661439711763,4335.5590588403775,0.0,1.0,1.0,BENIGN
418757.42082064576,32.46694877866175,44.87271559977667,46461.74335350447,175.50790537577637,1313.7821622508775,363.2521130037951,2425.636755810841,467.37462438235457,0.0,1.0,1.0,BENIGN
963346.6989542446,31.112148991102867,23.54481463979101,28801.658814710485,74.38319894697855,863.1048823607532,286.4199218840634,7813.794592618206,3534.76234594917,0.0,1.0,0.0,BENIGN
332966.4284707007,11.138238858098054,28.606057599244732,48397.746495210304,86.38494436538285,726.7605203458461,209.29486426236267,6141.2254726009705,4505.53626818697,0.0,1.0,0.0,BENIGN
384856.9945961836,42.15244312618858,29.814338198936248,30002.7673552618,201.06266105237856,370.67919311862926,279.1744576576581,3367.7990420604447,4334.495474654128,1.0,0.0,0.0,BENIGN
203298.99046896395,3.549608273449901,19.36186865920295,46637.774252978386,146.73968584416048,931.6989876896679,438.91289281907956,7649.233163480317,2110.4515269808635,1.0,0.0,1.0,BENIGN
272005.92638409545,55.212318497103155,21.63317158259237,34574.20910384415,219.96034835484218,928.4113942445164,284.7488619816126,6031.821745300587,2050.405736831506,0.0,0.0,1.0,BENIGN
517987.1892932261,9.526398210510065,6.573407951272492,9933.808613920515,285.49475402687534,800.2468853571521,128.6683487653982,526.3198009754726,1201.355739110577,0.0,1.0,1.0,BENIGN
27931.615299622357,50.50187631251117,15.74944301281404,68838.90741547704,397.73734776999197,558.9500127400088,54.65135970200834,975.9682965237779,1046.76495247677,1.0,0.0,1.0,BOTNET
550892.3924531433,32.01228296137073,30.202567210005125,46889.69844520682,169.95378340338152,1066.521560556455,275.18111257519183,5703.306626062,3441.916184320493,0.0,1.0,0.0,BENIGN
432179.9441725027,42.122547564307865,49.872732640208675,25677.07056088568,186.49683346331787,109.71826240914064,459.8257905417656,1496.8225888305196,2856.02713953274,0.0,1.0,0.0,BENIGN
42729.26293295599,90.88342690063367,57.64745220626658,14689.550431173084,582.2419701485704,477.4098515467806,48.03619738735602,2241.354999180303,134.70519554298477,0.0,0.0,1.0,BOTNET
159186.34720658849,51.28063819665579,19.961092896369127,31684.889449427326,149.84361940637297,1386.9138951970583,422.9076914186558,1695.949623570275,726.2559945953001,0.0,0.0,0.0,BENIGN
948462.2171146336,31.251451746828284,23.28943600456874,44876.96621190412,29.980605538878418,967.4551165458432,326.0251147093229,7675.965593587856,3919.2098412790297,1.0,0.0,0.0,BENIGN
117116.33316528122,63.061206617874795,32.807719142169304,37238.41507267367,616.313611130164,311.2870278678079,38.75935885899736,1107.0528756428632,927.5227696726292,1.0,0.0,0.0,BOTNET
754545.9230792944,26.217492091074856,11.54961656875086,17796.763809133758,23.429988104013887,421.3676108975828,132.50470415804486,3879.1720403057707,3800.9854797374387,1.0,1.0,1.0,BENIGN
31608.72071968646,73.22029923040785,69.52259411600518,13159.669274035934,774.8184247716282,158.86996356415648,99.72761483474295,684.4580563851177,1197.682962494741,1.0,0.0,0.0,BOTNET
414641.3043363918,21.880443749154665,45.24585945725538,45804.48807954199,275.31762020213426,699.223878295416,185.26697914646937,5835.337191714803,1925.224529106575,0.0,1.0,0.0,BENIGN
441160.284210731,14.298239764692957,38.78790310979318,32974.847680063176,220.20667453426773,162.66579639818747,384.0328184384614,6076.963257647106,4591.9492434336125,0.0,0.0,1.0,BENIGN
481260.8913954668,39.750846273171874,21.06395396878835,5567.855437604345,104.33658289053506,410.7525971496583,179.42261038000504,9964.339433044986,3951.4076358087746,0.0,1.0,0.0,BENIGN
674337.7785580591,21.881732917942916,45.365325853468995,49568.46478439733,240.79688980265266,320.47675633692427,453.5204441932892,7795.438856674651,1217.9226335696508,1.0,1.0,0.0,BENIGN
728866.1265650592,53.19582411224765,34.929828580835796,7277.926438410654,286.4073779553921,574.0841043558364,243.1168343920634,9217.006292060762,3555.162647634329,0.0,1.0,1.0,BENIGN
155936.60170521255,32.51199971506607,20.83677456527604,42196.88253420981,233.8941087489673,344.95495902376774,135.34750808093753,2943.0313652901873,4169.80962000408,1.0,1.0,1.0,BENIGN
698413.4548287992,25.068186892203485,25.726140394873646,18825.220802709562,266.22068666065053,810.3428633463752,223.7613146503854,7102.104419012413,4024.1085770564923,0.0,1.0,0.0,BENIGN
852787.6664518104,54.022890174327486,42.52362349370613,28022.18813791664,182.54539087837335,1381.908304880217,169.076719418834,5811.2592468935045,1882.493740015728,0.0,1.0,1.0,BENIGN
871019.0721484793,47.38393686551291,11.750677402231682,35029.0836693559,16.401936148046673,143.30946394981927,216.17930459870226,9331.165532343057,4384.300986029175,0.0,0.0,0.0,BENIGN
770779.5551057247,30.529198809520217,2.093820771988163,35484.91983927954,58.70840666660526,848.9808234357412,64.43370271941319,1490.2775135227143,1440.2225132419705,0.0,0.0,1.0,BENIGN
659031.7984030514,6.292258523487023,17.531661428674134,7044.632807687493,64.61547161202589,998.6556559427632,413.32189944585,7707.804466690005,4620.399875380125,0.0,0.0,1.0,BENIGN
415842.842171829,38.378582323354046,4.294203142969714,34551.18100677422,248.1589824826225,1241.3101572985445,438.27919999970555,5669.786004227065,214.05551403939214,0.0,0.0,0.0,BENIGN
723966.921402276,20.06819730507581,49.390137614216705,7753.2343783501165,196.29578752176485,704.4316393025179,109.67177784338094,8061.777169512343,2746.9638343306074,0.0,0.0,0.0,BENIGN
441416.85200407356,26.27266674497589,21.218364077892712,307.5731853752899,99.88722876169112,752.3480757464513,176.13550426221462,8639.306113944062,3119.1481623466284,0.0,0.0,1.0,BENIGN
